Агроном,1,8 лет 1 месяц,"Проверка качества сбора огурца,
Работа с первоначальной документацией,"
Мастер  участка,4,1 год 6 месяцев,"Виды выполняемых работ: монтаж железобетонных конструкций, технологических трубопроводов, эстакад. Контроль за работой автомобилей и тяжелой техники на строящихся площадках.
Взаимодействие с подрядными организациями, заказчиками.
Контроль сроков, качества и объемов проводимых работ. Сдача актов, КС и подготовка документации"
Машинист погрузчика,4,3 года 1 месяц,"Работа на импортной технике. Погрузчик (Сatаrpillar 988 H – 6 куб). Демонтаж сооружений, отсыпка насыпи, строительство дорог, погрузка «БЕЛАЗОВ», загрузка бункеров и дункаров и др. виды работ в крупных объемах."
Водитель топливозаправщика,4,10 месяцев,"Опыт работы на отечественной технике (Урал -4320, Камаз, Маз, с категорией Е), перевозка дизельного топлива по Норильскому НПР, АзС и Рудникам доставка из г. Дудинки до  Норильска."
Машинист погрузчика,4,1 год 11 месяцев,"Работа на импортном погрузчике (Сatаrpillar ). Виды работ: погрузка автомобилей в карьере, разработка грунта."
Водитель бензовоза,4,1 год 10 месяцев,"Опыт работы на отечественной технике (Супер-МАЗ с категорией Е), перевозка опасных грузов и доставка топлива по АЗС. Урал 4320 зимнее вождение по тундре доставка ГСМ по геологическим точкам."
Водитель всех марок автомобилей,4,1 год 9 месяцев,Работа на отечественной технике (Супер-МАЗ с категорией Е) перевозка контейнеров. Аэропорт «Алыкель – г.Норильск»
Зоотехник,5,3 года 4 месяца,"Контроль поедаемости кормов животными.
Корректировка суточной дачи корма, по итогом взвешивания остатков с кормового стола.
Контроль качества основных кормов и измерение СВ. Корректировка КСВ рациона.
Подготовка заданий на кормление.
Контроль переваримости рациона животными.
Работа с программами Екопоинт и 1С.
Движение поголовья на комплексе, перевод в группу согласно физиологического состояния. взвешивание телят, перевод по группам согласно возрасту."
Зоотехник,5,9 месяцев,"Контроль кормления коров.
Заготовка сена.
Проведение контрольных доек.
Отбор КРС на племя.
Учёт поголовья."
Помощник зоотехника по кормлению,5,3 месяца,"Контроль поедаемости кормов животными.
Корректировка суточной дачи корма, по итогом взвешивания остатков с кормового стола.
Измерение СВ сенажа и силоса.
Контроль качества основных кормов и измерение СВ. Корректировка КСВ рациона.
Подготовка заданий на кормление.
Контроль переваримости рациона животными.
Работа с программами Триолет, Екопоинт и 1С."
Помощник зоотехника,5,3 месяца,"Практика. Помощь в сортировке дойного стада по группам. Помощь ветеринару при отелах, лечении и ИО.
Проведение бонитировки молодняка."
Директор филиала,6,3 года 1 месяц,"Работа с персоналом, уход за животными, реклама"
Бригадир технического сервиса,7,8 лет 11 месяцев,Полный монтаж и пуско наладка оборудования  утилизации и переработки животноводства. Поливальных машины. Монтаж оборудования без проекта
Инженер-механик,7,3 года 9 месяцев,"сервисное обслуживание, шеф монтаж, продаваемой техники.Монтаж  OMNIVENT, поливальных машин TL"
"водитель топливозаправщика, помощник ген.директора по нефтепродуктам",7,15 лет,"приём нефтепродуктов на ж\д станциях, полное обеспечение нефтепродуктами фирмы для обеспечения бесперебойной работы,сезонное планирование  закупки автомобильных масел."
Наладчик технологического оборудования,7,6 месяцев,наладчик  участка плакирования вакумно-термическая печь
Управляющий питомником,8,2 года 10 месяцев,"Организация производства питомника.  Организация работы подразделений питомника. С нулевого цикла воспроизводства до готовой продукции. Разработка и внедрение новых производственных мощностей. Контроль агротехники, ассортимента ."
Начальник производственного участка,8,1 год 2 месяца,"Руководство подразделением, выращивание рассады цветочных культур, Выращивание Розы на срезку. Составление графиков и рецептов подкормки, отпуск готового материала."
Главный агроном,8,2 года 2 месяца,". ООО Агропрезент -------

Реорганизация компании ООО Аэлита-агро в ООО Агропрезент."
агронома,8,2 года 7 месяцев,"ООО Аэлита-агро Должность: Главного -------

Организация работы агрономической службы. Контроль качества семян посадочного материала.

Взаимодействие с управлением Федеральной службы по ветеринарному и фитосанитарному надзору, с институтом качества зерна, ВНИКР, Россельхозцентр, с ведущими агрофирмами и ботаническими садами. Ведение документации компании в области агрономии. Организация участия компании в выставках Цветы экспо, Золотая осень, Фазенда. Сотрудничество с издательствами, публикации авторских статей в изданиях «Моя прекрасная дача», «Сад своими руками», «Ландшафтный дизайн». Участие в съемках передач, посвященные агрономии и озеленению."
Менеджер,8,10 лет 5 месяцев,"ООО «Нотра» -------

Работа в области недвижимости, оформление сделок купли-продажи и аренды жилой и коммерческой недвижимости.

Подготовка, сопровождение и регистрация документов. Проведение переговоров. Оценка объектов недвижимости. Сотрудничество с застройщиками"
Зам директора по АХО,8,10 лет 5 месяцев,"Республиканский центр детей-инвалидов -------

Ведение хозяйственной документации. Курирование строящихся объектов. Организация и проведение капитальных и текущих ремонтов. Озеленение и благоустройство новых территорий."
мастер производственного участка,8,2 года 6 месяцев,"«Марийский государственный университет» АБС

-------

Организация технологического процесса в соответствии с учебным планом.

Ведение документации агробио станции. Внедрение новых технологий в выращивание овощных и цветочных культур. Содержание сортимент , согласно учебного процесса. Создание ландшафтных групп в объектах ландшафтной архитектуры. Ведение проектов по озеленению объектов на договорной основе."
Заведующий отделом,8,9 лет 6 месяцев,"«Марийский государственный технический университет» цветоводства

-------

Организация работы отдела и обеспечение учебного процесса. Подготовка проектно-сметной документации по озеленению и ландшафтной архитектуре. Содержание коллекционных фондов

Цветочно-декоративных растений до 1500тыч.таксонов."
Ассистент ветеринарного врача,9,8 лет 5 месяцев,"Выявление мастита, гинекология,лечение молодняка"
Вет. фельдшер. Начальник станции исскуственного  осеменения и зам.управляющего комплекса.,10,25 лет 5 месяцев,"Ведение документов, программа 1С и АВСС,организация слаженной работы комплекса,высокий процент осеменения 87-95%, приучение хряков 98%. Контроль за кормлением и содержанием животных,внедрение новых технологий на производстве.Умение быстро и самостоятельно принимать решения.Составление циклограмм. Вакцинация, взятие крови,кастрация,вскрытие,забор пат. материалов, выяснения клинической картины и назначения лечения.Ведение вет. документов,отчеты. Ведение документации,составление отчетов, расстановка работников на участке,выдача нарядов и контроль за выполнением работы.Ведение отчетности на участке.Сортировка поголовья. На последнем месте работала за зоотехника - селекционера, вела плем. учет. Совмещала обязанности ветврача."
Агроном,11,12 лет 5 месяцев,"производство зерна и кормов: планирование полевых работ; организация проведения полевых работ (обработка почвы, сев, уход за растениями, в т.ч. хим.обработки, уборка урожая); расчёт норм и потребности в семенах, удобрениях и СЗР; создание севооборота; отчетность; создание технологических карт; расчет потребности в работниках и технике;"
Оператор производственной линии,12,1 год 5 месяцев,Обслуживание производственных линий .Производство соответствующей продукции должного качества.
Слесарь-ремонтник4раз.Осмотрщик-ремонтник 5раз,12,6 лет 4 месяца,"Тех.обслуживание и капитальный ремонт узлов локомотивов, подвижного состава."
Менеджер по закупкам,12,10 месяцев,Закупки и реализация сельскохозяйственной продукции.
Обвальщик мяса,12,3 года 5 месяцев,"Выполнение производственных заданий и распоряжений бригадира ,соблюдение санитарно-гигиенических норм ,охраны труда и пожар.безопасности."
Ветеринарный врач-консультант,13,10 лет 10 месяцев,"Консультирование по вопросам ухода, содержания и кормления животных. Предоставление информации по запрашиваемым ветеринарным препаратам и различным видам витамино-минеральным комплексам . Активное участие в продаже товаров, общение с клиентами зоомаркета, мониторинг спроса необходимого товара и предложение своих услуг. Разносторонний подход к решению поставленных задач. Анализ и подведение итогов. "
Лаборатория клинической диагностики с/х животных кафедры хирургии,13,2 года 2 месяца,"Организация и проведение образовательного процесса. Проведение общеклинических анализов (биохимия крови и мочи, капрограмма, исследование мазков и соскобов). 
Участие в приёме домашних животных. Встреча посетителей. Оформление документации. Постановка инъекций в/м, в/в, п/к, капельниц,катетеров. Ассистирование врачу при проведении хирургических манипуляций и операций."
Ветеринарный санитар,13,11 месяцев,Помощь в работе ветеринарного врача хозяйства. Участие в лечебном процессе с/х животных. 
Заместитель исполнительного директора комбикормового завода.,14,3 года 6 месяцев,Заключение договоров с поставщиками. Подбор сотрудников. Контроль качества поступающего сырья.
Госветинспектор,14,4 года 3 месяца,Гос-ве инспектор на границе и транспорте.
Ихтиопатолог,14,4 года 1 месяц,Лечение профилактика заболеваний рыб. Прудовые хозяйства.
Главный ветеринарный врач,14,15 лет 1 месяц,Лечение профилактика заболеваний крс
Региональный менеджер по продажам,15,8 лет 10 месяцев,"Реализация от официального дистрибьютера СЗР, семян, удобрений сельхозпроизводителям,консультации,проведение обучающих семинаров. Агросопровождение по культурам. Знаю технологии выращивания и защиты с/х культур."
Ведущий менеджер по продажам,15,1 год 11 месяцев,"Реализация семян,СЗР, удобрений  от официального дистрибьютера,организация работы отдела, организация и проведение семинаров.Знаю технологию выращивания с/х культур,систему борьбы с болезнями и вредителями"
Заместитель директора по производству,15,5 месяцев,"Сельхоз предприятие являющееся базовым производителем овощной продукции для Багаевского консервного завода.Исполнение обязанностей главного агронома, формирование потребности,составление бизнес-плана, составление технологических карт,др агро документации"
Генеральный директор,15,1 год 6 месяцев,"Руководство предприятием после смены собственника,принял хозяйство с отрицательным балансом,не обработанными землями и др проблемами документального характера. 2150га,структура: Зерновые-1270га,Кукуруза-330га,Плодовые-97га,технические-253га, овощи-100га. За период 2011г.благодаря слаженной работе коллектива и хозяйство добилось положительного баланса за счет высоких результатов как по урожайности сельхозкультур, Ср.урожайность по зерновым и кукурузе на богаре -40ц/га.Знаю технологию выращивания с/х культур, имею опыт руководства"
Менеджер по продажам,15,3 года 2 месяца,"Распространение и реализация средств защиты растений от официального дистрибьютера, семян овощных,технических и зерновых культур, проведение обучающих семинаров для сельхозпроизводителей, изучение новых технологий, новинок на рынке производства СЗР, агро сопровождениеЗнаю технологию выращивания и систему защиты от вредителей и болезней с/х культур"
Главный агроном,15,3 года 2 месяца,"Главный агроном межрайонного отдела, учет и прогноз появления и распространения вредителей и болезней сельхозкультур"
глава,15,5 лет 2 месяца,"Организация КХ, выращивание овощных культур, производство гибридов томатов и огурца в закрытом и открытом грунте, семеноводство под научным руководством селекционера Маштакова А.А. Применение капельного орошения."
Семеновод-Энтомолог,15,9 лет 1 месяц,"После окончания ВУЗа работал в ЗАО Донское (бывший Донской плодо-овощной совхоз)в начале энтомологом, потом совмещал с должностью семеновода.Исполнял обязанности гл.агронома. Хозяйство 3860га,структура: зерновые-1500га,овощи- 1200га,плодовые-620га,технические-300га,кукруза-300га,мн.травы+однолетние-180га С 2000г принят в подсобное хозяйство Донское путем объединения с заводом. в 2003г завод объявлен банкротом.Прошел хорошую практическую школу в передовом хозяйстве,приобрел уверенность в правильности своего выбора профессии"
агроном-консультант,16,5 месяцев,"Контроль за качеством обработки посевов пестицидами, контроль за уборкой зерновых культур и их влажностью, контроль за севом культур."
Машинист фронтального погрузчика,17,2 года 9 месяцев,"Погрузка в автотранспорт буртовка
"
Машинист фронтального погрузчика,17,2 года 4 месяца,"Погрузка автомобилей ,буртование песка щебня.Уборка снега Погрузочно разгрузочные работы
"
Тракторист-машинист,17,6 месяцев,Подготовка почвы под сев газона Пахота Культивация дискование
машинист экскаватора погрузчики АТЕК999,17,1 год 1 месяц,Уборка территории фабрики вскрытие аварийных теплотрассы выполнение поручений руководства земляных работ
машинист экскаватора погрузчика тракторист,17,2 года 10 месяцев,права тракториста кат Е права на авто электропогрузчик
тракторист машинист,17,5 месяцев,Погрузка поддонов в автотранспорт кошение
Машинист ЭО 3323,17,2 года 2 месяца,Работа на экскаваторе по обслужуванию коммуникаций
Тракторист ДТ75,17,5 лет 10 месяцев,Пахота культивация сев Первое место за сев озимых
Машинист ЭО4121,17,3 года 4 месяца,Разработка урезов для прокладки нефте газовых труб через русла рек
Старший ветеринарный врач,18,6 месяцев,"Контроль работы ветеринарной службы на свинокомплексе.Осуществление надзора за санитарным состоянием животных.
    Осмотр и диагностирование их болезней и повреждений.
    Исследование причин возникновения процессов протекания болезней животных, разработка методов лечения.
    Применение лекарственных средств при лечении животных.
    Проведение ветеринарных мероприятии по предупреждению заболеваний и падежа животных.
Ведение ветеринарной документации.
Контроль за осуществление мер биобезопасности."
Ведущий ветеринарный врач,18,2 месяца,"Осуществление надзора за санитарным состоянием животных.
    Осмотр и диагностирование их болезней и повреждений.
    Исследование причин возникновения процессов протекания болезней животных, разработка методов лечения и профилактики. 
    Осуществление терапевтического и хирургического лечения животных.
    Применение лекарственных средств при лечении животных.
    Проведение ветеринарных мероприятии по предупреждению заболеваний и падежа животных"
Ветеринарный врач СК,18,10 месяцев,"Осуществление надзора за санитарным состоянием животных.
    Осмотр и диагностирование их болезней и повреждений.
    Исследование причин возникновения процессов протекания болезней животных, разработка методов лечения и профилактики. 
    Осуществление терапевтического и хирургического лечения животных.
    Применение лекарственных средств при лечении животных.
    Проведение ветеринарных мероприятии по предупреждению заболеваний и падежа животных"
Старший ветеринарный врач СК,18,1 год 6 месяцев,"Общее руководство и координация деятельности ветеринарной службы на свинокомплексе;

Осуществление надзора за ветеринарно-санитарным содержанием поголовья на свинокомплексе;

Проведение профилактических и лечебных мероприятий на свинокомплексе;

Контроль за соблюдением режима биобезопасности на свинокомплексе;

Ведение ветеринарной документации;

Своевременное пополнение вет.аптеки"
Ветеринарный врач СК,18,1 год 2 месяца,"Назначение лечебной терапии! Проведение противоэпизоотических , иммунологических мероприятий. Ведение документации, учет ветеринарных препаратов производственной площадки"
Ветеринарный врач,18,4 месяца,"Осуществление надзора за санитарным состоянием животных.
    Осмотр и диагностирование их болезней и повреждений.
    Исследование причин возникновения процессов протекания болезней животных, разработка методов лечения и профилактики. 
    Осуществление терапевтического и хирургического лечения животных.
    Применение лекарственных средств при лечении животных.
    Проведение ветеринарных мероприятии по предупреждению заболеваний и падежа животных"
Ветеринарный фельдшер,18,4 месяца,Лечение
Ветеринарный врач СК,18,2 года,"Осуществление надзора за санитарным состоянием животных.
    Осмотр и диагностирование их болезней и повреждений.
    Исследование причин возникновения процессов протекания болезней животных, разработка методов лечения и профилактики. 
    Осуществление терапевтического и хирургического лечения животных.
    Применение лекарственных средств при лечении животных.
    Проведение ветеринарных мероприятии по предупреждению заболеваний и падежа животных и т.д."
Ветеринарный врач,18,1 год 3 месяца,"Проведение ветеринарных мероприятий по предупреждению заболеваний животных.

     Соблюдение выполнения зоогигиенических и ветеринарных правил при содержании, кормлении животных и уходе за ними.

     Проведение осмотра животных и диагностирование их болезней и повреждений.

     Осуществление исследования причин возникновения, процессов протекания болезней животных, разработка методов их лечения и профилактики.

     Осуществление терапевтического и хирургического лечения животных.

     Применение лекарственных средства при лечении животных, высокоэффективных ветеринарных препаратов и методы ветеринарного воздействия."
Ветеринарный фельдшер,18,4 месяца,"Проведение ветеринарных мероприятий по предупреждению заболеваний животных.

     Соблюдение выполнения зоогигиенических и ветеринарных правил при содержании, кормлении животных и уходе за ними.

     Проведение осмотра животных и диагностирование их болезней и повреждений.

     Осуществление исследования причин возникновения, процессов протекания болезней животных, разработка методов их лечения и профилактики.

     Осуществление терапевтического и хирургического лечения животных.

     Применение лекарственных средства при лечении животных, высокоэффективных ветеринарных препаратов и методы ветеринарного воздействия."
Технолог пищевого производства,19,11 лет 7 месяцев,"- Осуществлять контроль за соблюдением работниками технологической дисциплины, правильной эксплуатацией оборудования. Составлять планы размещения оборудования, технического оснащения и организации рабочих мест, рассчитывать производственные мощности и загрузку оборудования.  Разрабатывать технологические нормативы, рабочие инструкции, разработка спецификации на сырье и материалы, технологические карты и др. технологическую и методическую документацию.  Участвовать в проведении экспериментальных работ по освоению новых технологических процессов и внедрению их в производство. Вносить изменения в техническую документацию в связи с корректировкой технологических процессов и режимов производства. Координировать работу участков цеха, принимать меры по предупреждению и устранению нарушений хода производственного процесса. анализировать причины брака и выпуска продукции низкого качества. Проводить инструктаж с мастерами и рабочими по всем технологическим вопросам. Принятие участия в работе по расширению и обновлению ассортимента выпускаемой продукции. Контроль за соблюдение нормативных выходов продукции и вспомогательных материалов. Контроль за соблюдением рецептур и технических условий выпускаемой продукции. Координация работы работников цеха. Отслеживание минимальных остатков по сырью и готовой продукции.."
"мастер отделения подготовки сырья, мастер участка деликатесной продукции, мастер участка формовки, технолог колбасного цеха.",19,5 лет 10 месяцев,"-Организация и контроль работы цеха для  выполнения сменного задания по качеству и количеству. Прием сырья и материалов. Контроль за соблюдением технологических процессов, оперативное выявление и устранение причин нарушения. Планирование работ, контроль качества и объема работ, ведения табеля, контроль соблюдения ТБ. Анализ результата производственной деятельности, обеспечение правильности и своевременности оформления первичных документов по учету рабочего времени, выработке."
Машинист бульдозера,20,1 год 4 месяца,"Отсыпка дорог, кустовых площадок, планировка грунта"
Тракторист-машинист,20,1 год 7 месяцев,"Работа на бульдозере CatD6NXL, CatD6R. Планировка, разработка грунта.
Работа на катке грунтовом HAMM AMMAN"
Водитель-экспедитор,20,1 год 1 месяц,Доставка хлебобулочных изделий по г. Краснодар
Тракторист-машинист,20,10 месяцев,"управление сельскохозяйственной техникой, диагностика оборудования, ремонт и обслуживание"
Водитель погрузчика,20,6 месяцев,"Управление фронтальным погрузчиком, техническое обслуживание транспортного средства.Работа на строительных объектах,своевременная подача стой-материалов на объект,погрузка-разгрузка различных грузовых автомобилей."
